ID,BSLmarrCode
1,4
2,3
3,5
4,5
5,5
6,5
7,5
8,5
9,4
10,3
11,5
12,5
13,3
14,4
15,5
16,5
17,5
18,4
19,5
20,5
21,5
22,4
23,5
24,3
25,5
26,5
27,5
28,5
29,4
30,5
31,5
32,3
33,5
34,5
35,5
36,5
37,2
38,3
39,4
40,4
41,2
42,4
43,3
44,4
45,3
46,4
47,3
48,5
49,3
50,2
51,2
52,2
53,3
54,2
55,4
56,2
57,4
58,4
59,4
60,4
61,1
62,3
63,4
64,
65,5
66,2
67,3
68,4
69,3
70,3
71,3
72,3
73,5
74,
75,3
76,3
77,3
78,2
79,3
80,2
81,5
82,4
83,3
84,4
85,2
86,2
87,3
88,2
89,4
90,5
91,5
92,3
93,4
94,5
95,5
96,3
97,4
98,4
99,4
100,3
101,3
102,3
103,4
104,3
105,1
106,3
107,1
108,3
109,2
110,3
111,4
112,3
113,2
114,2
115,3
116,2
117,2
118,3
119,4
120,2
121,5
122,3
123,4
124,3
125,4
126,
127,3
128,2
129,3
130,3
131,4
132,
133,4
134,3
135,3
136,2
137,4
138,4
139,4
140,5
141,5
142,5
143,4
144,2
145,5
146,4
147,4
148,4
149,3
150,3
151,5
152,4
153,4
154,4
155,4
156,3
157,4
158,3
159,4
160,5
161,4
162,5
163,5
164,5
165,5
166,4
167,4
168,2
169,5
170,5
171,4
172,2
173,5
174,5
175,4
176,2
177,4
178,5
179,5
180,5
181,4
182,3
183,3
184,3
185,3
186,3