,socname,phylo,men,women,cultural,polygamy,ordinal,nsp,wives,stress,stress2,fcont1,fcontmean,hunt,fish,gather,hunt2,fish2,gather2,plow,timesub,submode,submode2,mort,density,assfreq,femarr,maggr,intwar,proxi,ineq,strat,temp,lati,hemi,region,clim
93,Kimam,MISSING_Kimam,15,30,2,3,4,0,1.214285714,11,2,33,4,1,1,2,3,2,3,0,2,11,1,0,2,4,6,2,1,NA,NA,1,27,9,2,4,3
94,Kapauku,Kapauku,31,50,5,4,5,1,1.38,11,2,60,6,1,1,0,3,2,2,0,NA,7,3,NA,6,9,6,NA,15,2,NA,2,26,2,2,4,3
95,Kwoma,Kwoma,38,59,5,4,5,1,1.512195122,11,2,45,5,2,0,3,3,2,3,0,2,9,2,4.25,5,9,4,2,4,3,NA,1,27,5,2,4,3
96,Manus,Manus,2,4,2,3,3,0,1.020833333,13,2,30,3,0,9,0,1,3,2,0,NA,3,5,0,5,8,6,NA,1,3,3,2,27,1,2,4,3
97,New Ireland,New_Ireland,12,21,4,3,4,0,1.113924051,14,2,50,5,1,4,0,3,3,3,0,2,9,2,0,4,5,5,3,1,4,NA,1,28,4,2,4,3
98,Trobrianders,Trobrianders,3,39,3,3,4,0,1.590163934,11,2,53,5,0,3,1,3,3,2,0,NA,9,2,0,5,9,2,NA,1,5,NA,3,27,8,2,4,3
99,Siuai,Siuai,14,28,3,3,4,0,1.194444444,15,2,55,7,1,0,2,3,2,3,0,3,9,2,NA,5,2,4,3,7,4,NA,2,27,6,2,4,3
100,Tikopia,Tikopia,5,7,4,4,3,1,1.021505376,9,1,75,5,0,5,0,3,3,2,0,NA,9,2,0,6,5,2,NA,1,4,NA,3,25,18,2,4,3
101,Pentecost,Pentecost,12,30,4,3,3,NA,1.257142857,15,2,NA,NA,0,1,1,3,2,3,0,NA,9,2,NA,4,1,NA,1,1,3,NA,2,25,18,2,4,3
102,Mbau Fijians,Mbau_Fijians,1,3,3,3,3,NA,1.020618557,12,2,NA,3,0,5,1,1,5,2,0,NA,9,2,NA,7,9,4,NA,17,2,2,2,NA,NA,NA,4,3
103,Ajie,Ajie,NA,NA,NA,4,4,NA,NA,14,2,NA,4,0,3,0,3,3,2,0,1,11,1,NA,3,NA,NA,1,NA,NA,NA,1,23,22,2,4,5
104,Maori,Maori,1,5,3,4,3,1,1.042105263,7,1,23,3,1,2,3,4,3,2,0,NA,7,2,5.5,2,5,4,NA,15,5,2,3,15,35,2,4,4
105,Marquesans,Marquesans,0,0,2,1,1,0,1,11,2,33,3,0,4,0,3,3,2,0,1,9,2,3.5,5,NA,1,2,17,4,NA,3,27,9,2,4,3
106,Western Samoans,Western_Samoans,0,0,3,3,3,0,1,12,2,28,3,0,3,0,3,3,2,0,NA,9,2,6,6,NA,4,NA,15,3,NA,3,22,14,2,4,3
107,Gilbertese,Gilbertese,1,2,3,3,1,NA,1.010204082,14,2,45,5,1,4,0,3,3,1,0,2,9,2,NA,6,NA,5,3,NA,NA,NA,3,28,3,1,4,3
108,Marshallese,Marshallese,NA,NA,4,3,3,NA,NA,11,2,23,3,0,5,1,3,5,2,0,NA,9,2,NA,6,3,1,NA,1,3,3,3,27,7,1,4,3
109,Trukese,Trukese,0,0,2,3,2,0,1,14,2,38,4,0,5,0,3,3,2,0,2,9,2,NA,7,7,2,3,1,4,NA,1,27,7,1,4,3
110,Yapese,Yapese,5,10,3,3,3,0,1.055555556,11,2,58,5,0,4,0,3,3,2,0,NA,9,2,NA,5,1,1,NA,2,4,NA,4,28,9,1,4,3
111,Palauans,Palauans,1,2,4,3,4,0,1.010204082,12,2,NA,4,0,4,0,3,3,2,0,3,9,2,NA,5,NA,2,2,17,4,NA,3,27,7,1,4,3
112,Ifugao,Ifugao,2,4,2,3,3,0,1.020833333,13,2,NA,6,2,1,0,3,2,2,0,NA,11,1,5,6,9,2,NA,17,3,NA,2,28,16,1,4,3
113,Atayal,Atayal,0,0,1,2,2,0,1,14,2,55,5,2,1,0,4,2,2,0,3,7,3,NA,4,9,NA,NA,17,NA,NA,1,23,24,1,4,4
114,Chinese,Chinese,0,0,1,2,2,0,1,14,2,NA,1,0,1,0,1,3,2,0,NA,12,1,6,7,NA,6,NA,15,3,NA,5,NA,NA,NA,3,4
115,Manchu,Manchu,0,0,1,2,3,0,1,8,1,33,4,0,1,0,3,2,1,1,2,12,1,6,6,NA,6,3,17,3,NA,2,3,45,1,3,2
116,Koreans,Koreans,1,2,1,2,2,0,1.010204082,12,2,35,3,0,2,0,3,2,1,1,NA,12,1,6,7,8,6,NA,17,3,NA,5,-3,48,1,3,4
117,Japanese,Japanese,0,0,1,2,2,0,1,16,2,0,2,0,0,0,1,1,2,1,2,12,1,NA,7,1,5,3,1,3,NA,5,14,35,1,3,4
118,Ainu,Ainu,1,2,3,3,3,0,1.010204082,9,1,48,4,3,4,2,4,4,3,0,NA,3,6,NA,2,5,2,NA,5,3,2,1,6,44,1,3,4
119,Gilyak,Gilyak,1,3,3,3,4,0,1.020618557,8,1,20,2,3,5,2,4,5,3,0,1,3,6,NA,1,3,NA,2,12,3,3,1,-3,53,1,3,1
120,Yukaghir,Yukaghir,1,2,2,2,2,0,1.010204082,7,1,NA,0,5,4,1,4,4,2,0,NA,3,8,NA,1,NA,2,NA,2,NA,2,1,-16,71,1,3,1
121,Chukchee,Chukchee,33,49,4,4,5,1,1.31372549,8,1,13,2,2,3,0,4,2,2,0,3,6,4,NA,1,9,NA,1,15,3,NA,2,-8,65,1,3,1
122,Ingalik,Ingalik,4,8,3,3,3,0,1.043478261,7,1,23,3,4,5,1,4,5,2,0,NA,4,6,4.5,1,2,5,NA,4,3,3,2,-1,61,1,5,2
123,Aleut,Aleut,NA,NA,3,4,4,1,NA,7,1,10,2,3,6,1,3,5,2,0,2,4,6,6,4,1,5,2,17,2,3,4,-1,61,1,5,2
124,Copper Eskimo,Copper_Eskimo,5,10,2,3,3,0,1.055555556,7,1,15,2,4,6,0,4,5,2,0,NA,2,6,0,1,7,2,NA,1,4,1.5,1,-12,69,1,5,1
125,Montagnais,Montagnais,NA,NA,2,3,4,0,NA,7,1,30,3,6,2,2,6,3,2,0,2,2,8,0,1,1,2,2,1,3,1.5,1,3,48,1,5,2
126,Micmac,Micmac,NA,NA,3,4,NA,0,NA,7,1,NA,1,5,4,1,6,3,2,0,NA,2,8,3,1,NA,5,NA,1,3,1,1,4,46,1,5,4
127,Saulteaux,Saulteaux,2,4,3,3,3,0,1.020833333,7,1,30,2,4,4,2,4,4,2,0,2,3,8,0,1,3,4,2,1,2,1,1,-1,53,1,5,2
128,Slave,Slave,2,4,3,2,2,0,1.020833333,7,1,20,2,5,4,1,5,3,2,0,NA,2,8,0,2,NA,2,NA,1,4,2,1,-1,58,1,5,2
129,Kaska,Kaska,2,4,3,3,3,0,1.020833333,7,1,35,4,4,5,1,4,4,2,0,2,3,6,0,1,5,2,2,1,3,3,1,-2,60,1,5,2
130,Eyak,Eyak,NA,NA,3,4,3,1,NA,7,1,20,1,3,5,2,4,5,2,0,NA,4,6,NA,1,5,6,NA,1,4,3,2,4,60,1,5,2
131,Haida,Haida,NA,NA,4,3,4,0,NA,7,1,20,3,2,6,2,3,5,3,0,2,4,6,NA,2,NA,5,3,NA,3,3,4,8,54,1,5,4
132,Bellacoola,Bellacoola,5,10,4,3,NA,1,1.055555556,7,1,20,3,2,6,2,4,5,3,0,NA,4,6,6,3,4,5,NA,6,3,3,4,8,53,1,5,4
133,Twana,Twana,25,NA,4,3,4,0,NA,7,1,25,3,3,6,1,4,5,3,0,2,4,6,NA,5,NA,NA,NA,3,4,3,2,10,48,1,5,4
134,Yurok,MISSING_Yurok,4,8,2,3,3,1,1.043478261,7,1,43,4,1,5,4,4,4,3,0,NA,4,6,4,3,NA,5,NA,9,2,3,2,13,41,1,5,4
135,Pomo (Eastern),MISSING_Pomo_Eastern,2,4,2,3,3,0,1.020833333,7,1,38,4,3,3,4,4,3,4,0,2,1,7,4,3,3,5,3,6,3,2.5,2,15,39,1,5,4
136,Yokuts (Lake),Yokuts_Lake,5,10,2,3,2,1,1.055555556,8,1,NA,2,2,3,5,4,4,3,0,NA,3,7,NA,4,1,5,NA,NA,3,2,2,17,37,1,5,4
137,Paiute (North.),'Paiute_North.',15,27,3,3,4,0,1.164383562,7,1,50,5,3,2,5,4,3,4,0,3,1,7,NA,1,NA,2,3,1,3,2,1,9,42,1,5,2
138,Klamath,MISSING_Klamath,20,35,4,3,4,0,1.230769231,8,1,43,4,2,5,3,3,5,3,0,NA,4,6,5.5,2,9,5,NA,13,3,2,2,7,43,1,5,4
139,Kutenai,MISSING_Kutenai,10,19,2,3,4,0,1.111111111,7,1,30,3,3,4,3,4,4,3,0,3,3,6,NA,1,NA,2,2,1,3,2,1,8,50,1,5,4
140,Gros Ventre,Gros_Ventre,40,60,5,3,5,0,1.5,7,1,20,2,8,0,2,6,1,3,0,NA,5,8,NA,1,5,6,NA,1,NA,3,1,6,48,1,5,2
141,Hidatsa,Hidatsa,90,97,5,4,5,0,3.333333333,7,1,NA,6,2,1,1,4,2,3,0,2,11,1,NA,1,NA,4,1,1,2,NA,1,7,46,1,5,2
142,Pawnee,Pawnee,54,70,5,4,5,0,1.533333333,7,1,NA,4,4,0,1,4,2,2,0,NA,7,3,NA,2,5,6,NA,1,NA,NA,3,9,42,1,5,4
143,Omaha,Omaha,35,55,4,3,4,0,1.444444444,7,1,45,4,4,1,1,5,3,2,0,2,7,3,5,3,3,1,2,11,3,2.5,1,11,41,1,5,4
144,Huron,Huron,0,0,1,2,2,0,1,7,1,60,5,1,3,1,4,3,2,0,NA,7,3,3.75,5,3,3,NA,4,NA,NA,2,8,44,1,5,4
145,Creek,Creek,NA,NA,4,3,5,0,NA,9,1,55,4,2,2,2,4,3,2,0,3,7,3,4,3,9,2,1,5,2,2,1,17,33,1,5,4
146,Natchez,MISSING_Natchez,NA,NA,4,4,4,0,NA,9,1,38,3,3,2,0,4,3,2,0,NA,7,3,4,4,NA,2,NA,2,NA,NA,4,19,32,1,5,4
147,Comanche,Comanche,NA,NA,5,4,4,0,NA,7,1,10,2,9,0,1,6,2,3,0,3,5,8,NA,1,6,6,1,5,2,3,1,18,33,1,5,4
148,Chiricahua,Chiricahua,18,30,4,3,4,0,1.171428571,9,1,60,6,4,0,6,4,2,4,0,NA,5,7,NA,1,NA,2,NA,1,4,2,1,17,30,1,5,2
149,Zuni,Zuni,0,0,1,2,3,0,1,7,1,22,3,1,0,1,3,1,2,0,2,11,1,NA,3,2,2,3,1,4,NA,1,13,35,1,5,2
150,Havasupai,Havasupai,10,19,3,3,3,0,1.111111111,8,1,43,4,2,0,3,4,1,3,0,NA,11,1,0,1,NA,4,NA,1,3,NA,1,9,36,1,5,2
151,Papago,Papago,27,49,4,3,5,0,1.431372549,11,2,43,4,2,0,3,3,1,3,0,2,11,1,0,5,1,6,2,1,3,NA,1,20,31,1,5,2
152,Huichol,Huichol,NA,NA,3,3,4,NA,NA,12,2,20,3,2,1,1,4,2,2,0,NA,7,3,NA,3,NA,4,NA,NA,4,NA,2,13,23,1,5,2
153,Aztec,Aztec,NA,NA,3,3,4,0,NA,12,2,39,4,1,1,0,4,2,2,0,1,11,1,6,7,2,5,2,15,NA,NA,5,19,19,1,5,6
154,Popoluca,Popoluca,NA,NA,4,4,4,0,NA,14,2,0,2,1,1,0,3,2,2,0,NA,8,3,NA,5,NA,1,NA,NA,3,NA,1,26,18,1,5,3
155,Quiche,Quiche,NA,NA,1,2,4,0,NA,15,2,5,1,0,0,0,1,1,2,0,2,8,3,0,5,2,3,3,1,3,NA,2,23,15,1,6,6
156,Miskito,Miskito,2,4,3,3,3,0,1.020833333,13,2,NA,4,2,2,3,4,3,2,0,NA,7,3,NA,4,NA,4,NA,NA,4,2,1,26,14,1,6,3
157,Bribri,Bribri,5,10,3,3,4,0,1.055555556,16,2,NA,0,1,2,1,4,2,2,0,2,7,3,0,NA,NA,2,NA,1,NA,NA,1,23,9,1,6,3
158,Cuna (Tule),Cuna_Tule,1,2,2,3,3,0,1.010204082,13,2,0,1,1,3,0,4,3,2,0,NA,7,3,2.25,5,1,2,NA,2,3,NA,2,27,9,1,6,3
159,Goajiro,Goajiro,40,90,5,4,4,1,6,16,2,45,3,1,1,0,3,2,3,0,2,6,4,NA,2,9,6,2,10,3,NA,2,28,11,1,6,2
160,Haitians,Haitians,25,NA,5,3,5,NA,NA,16,2,35,3,0,0,0,NA,NA,2,0,NA,11,3,NA,6,1,2,NA,NA,2,NA,5,28,18,1,6,5
161,Callinago,Callinago,30,60,4,4,4,0,1.75,17,3,43,4,1,5,0,4,3,2,0,3,11,6,NA,4,NA,5,1,NA,1,1.5,2,26,15,1,6,3
162,Warrau,Warrau,60,95,5,3,5,0,8,14,2,28,2,3,2,4,4,4,3,0,NA,3,7,0,2,9,6,NA,1,4,2,1,15,9,2,6,3
163,Yanomamo,Yanomamo,38,56,5,4,5,NA,1.409090909,13,2,33,3,0,0,1,3,2,3,0,1,7,3,5,2,9,6,1,17,4,NA,1,25,1,1,6,3
164,Carib (Barama),Carib_Barama,20,37,3,3,5,NA,1.26984127,19,3,40,3,2,2,2,4,4,2,0,NA,7,3,0,1,1,2,NA,1,NA,1.5,1,28,4,1,6,5
165,Saramacca,Saramacca,60,85,5,4,5,1,2.666666667,14,2,43,4,2,2,1,4,3,2,0,2,7,3,NA,4,5,4,2,5,1,NA,1,28,5,1,6,3
166,Mundurucu,Mundurucu,7,15,3,3,4,0,1.094117647,14,2,30,3,3,2,1,4,3,2,0,NA,7,3,NA,1,NA,2,NA,NA,2,1,1,25,6,2,6,5
167,Cubeo (Tucano),Cubeo_Tucano,3,6,3,3,4,0,1.031914894,11,2,45,4,1,3,1,4,3,2,0,3,7,3,NA,2,7,5,2,11,3,NA,2,25,1,1,6,3
168,Cayapa,Cayapa,0,0,1,2,2,0,1,12,2,NA,3,1,2,1,4,3,2,0,NA,9,8,0,3,1,4,NA,1,3,NA,1,25,1,1,6,3
169,Jivaro,Jivaro,50,90,5,4,5,1,5,18,3,53,5,2,1,1,4,3,2,0,2,7,3,NA,2,NA,6,1,NA,3,NA,1,25,4,2,6,3
170,Amahuaca,Amahuaca,50,70,5,3,5,0,1.666666667,12,2,25,3,4,1,0,4,2,2,0,NA,7,3,NA,1,NA,NA,NA,16,NA,NA,1,24,12,2,6,3
171,Inca,Inca,10,27,4,3,4,0,1.232876712,12,2,18,3,1,0,0,3,2,2,0,2,11,1,NA,4,NA,NA,1,17,NA,NA,5,11,13,2,6,6
172,Aymara,Aymara,0,0,1,2,2,0,1,13,2,53,5,0,1,0,3,3,2,1,NA,7,3,NA,6,6,2,NA,3,2,NA,2,8,17,2,6,6
173,Siriono,Siriono,11,38,3,4,5,0,1.435483871,16,2,20,3,5,1,3,5,2,3,0,2,2,8,0,1,5,1,1,1,3,1,1,23,16,2,6,5
174,Nambicuara,Nambicuara,31,55,4,4,5,0,1.533333333,12,2,38,3,3,1,4,4,3,4,0,NA,7,7,NA,2,NA,6,NA,17,5,1,1,27,16,2,6,5
175,Trumai,Trumai,12,22,3,3,4,0,1.128205128,14,2,35,4,1,3,2,3,3,3,0,2,7,3,NA,1,1,5,1,NA,NA,1.5,1,25,14,2,6,5
176,Timbira,MISSING_Timbira,0,0,1,2,2,NA,1,16,2,48,4,3,1,2,4,2,2,0,NA,7,3,NA,3,2,2,NA,1,4,1,1,26,5,2,6,5
177,Tupinamba,Tupinamba,30,50,4,4,4,1,1.4,18,3,50,4,2,2,2,4,3,2,0,3,7,3,5,2,2,4,1,17,4,2,2,27,8,2,6,3
178,Botocudo,Botocudo,33,55,3,3,5,0,1.488888889,17,3,50,3,4,1,5,6,3,2,0,NA,2,8,NA,1,NA,NA,NA,14,NA,1,1,21,19,2,6,5
179,Shavante,Shavante,24,49,5,4,5,NA,1.490196078,20,3,38,4,3,1,4,4,2,5,0,3,1,7,NA,1,9,6,1,13,4,1,1,25,14,2,6,5
180,Aweikoma,Aweikoma,30,50,3,4,5,1,1.4,15,2,30,2,6,0,4,6,2,3,0,NA,2,8,NA,1,9,1,NA,NA,4,1,1,16,29,2,6,4
181,Cayua,Cayua,NA,NA,3,3,4,0,NA,12,2,28,4,2,1,2,5,2,3,0,2,7,3,NA,2,NA,NA,3,NA,4,NA,1,22,23,2,6,4
182,Lengua,Lengua,3,6,3,3,3,0,1.031914894,11,2,20,2,5,2,2,5,3,3,0,NA,2,8,3,1,NA,1,NA,1,NA,1,1,24,23,2,6,4
183,Abipon,Abipon,5,10,4,3,3,0,1.055555556,12,2,20,3,6,1,2,5,2,3,0,3,5,8,5,2,5,5,1,13,NA,2.5,4,20,29,2,6,4
184,Mapuche,Mapuche,6,10,4,3,3,1,1.044444444,8,1,30,3,0,1,1,3,3,2,0,NA,12,1,0,5,5,NA,NA,1,4,NA,2,16,39,2,6,4
185,Tehuelche,Tehuelche,1,2,2,3,3,0,1.010204082,7,1,NA,1,7,1,2,6,2,2,0,2,5,8,NA,1,9,2,2,9,3,2,1,11,46,2,6,2
186,Yahgan,Yahgan,5,10,2,3,3,0,1.055555556,7,1,45,6,2,7,1,3,5,2,0,NA,3,6,NA,2,9,1,NA,8,4,1,1,5,55,2,6,4
